0,1,2,3,4,5,6,7,8,9,10,11
State,District,Year,Wheat,Wheat,Wheat,,,,,,
State,District,Year,Rabi,Rabi,Rabi,,,,,,
State,District,Year,Area (Hectare),Production  (Tonnes),Yield  (Tonne/Hectare),,,,,,
1. Punjab,1. Amritsar,1997  - 1998,349000.00,1318000.00,3.78,,,,,,
1. Punjab,1. Amritsar,1998 - 1999,214000.00,862000.00,4.03,,,,,,
1. Punjab,1. Amritsar,1999 - 2000,358000.00,1738000.00,4.85,,,,,,
1. Punjab,1. Amritsar,2000 - 2001,361000.00,1690000.00,4.68,,,,,,
1. Punjab,1. Amritsar,2001 - 2002,363000.00,1700000.00,4.68,,,,,,
1. Punjab,1. Amritsar,2002 - 2003,356000.00,1513000.00,4.25,,,,,,
1. Punjab,1. Amritsar,2003 - 2004,358000.00,1538000.00,4.3,,,,,,
1. Punjab,1. Amritsar,2004 - 2005,372000.00,1591000.00,4.28,,,,,,
1. Punjab,1. Amritsar,2005 - 2006,371000.00,1643000.00,4.43,,,,,,
1. Punjab,1. Amritsar,2006 - 2007,185000.00,767000.00,4.15,,,,,,
1. Punjab,1. Amritsar,2007 - 2008,184000.00,810000.00,4.4,,,,,,
1. Punjab,1. Amritsar,2008 - 2009,187000.00,757000.00,4.05,,,,,,
1. Punjab,1. Amritsar,2009 - 2010,185000.00,753000.00,4.07,,,,,,
1. Punjab,1. Amritsar,2010 - 2011,189000.00,810000.00,4.29,,,,,,
1. Punjab,1. Amritsar,2011 - 2012,190000.00,945000.00,4.97,,,,,,
1. Punjab,1. Amritsar,2012 - 2013,190000.00,884000.00,4.65,,,,,,
1. Punjab,1. Amritsar,2013 - 2014,188000.00,934000.00,4.97,,,,,,
1. Punjab,1. Amritsar,2014 - 2015,188000.00,736000.00,3.91,,,,,,
1. Punjab,1. Amritsar,2015 - 2016,188000.00,842000.00,4.48,,,,,,
1. Punjab,1. Amritsar,2016 - 2017,188000.00,930000.00,4.95,,,,,,
1. Punjab,1. Amritsar,2017 - 2018,189000.00,920000.00,4.87,,,,,,
1. Punjab,1. Amritsar,2018 - 2019,189000.00,910000.00,4.81,,,,,,
1. Punjab,1. Amritsar,2019 - 2020,188000.00,852000.00,4.53,,,,,,
1. Punjab,1. Amritsar,2020 - 2021,189000.00,900000.00,4.76,,,,,,
1. Punjab,1. Amritsar,2021 - 2022,189300.00,843000.00,4.45,,,,,,
1. Punjab,1. Amritsar,2022 - 2023,189100.00,905400.00,4.79,,,,,,
1. Punjab,2. Barnala,2007  - 2008,112000.00,535000.00,4.78,,,,,,
1. Punjab,2. Barnala,2008 - 2009,114000.00,554000.00,4.86,,,,,,
1. Punjab,2. Barnala,2009 - 2010,114000.00,520000.00,4.56,,,,,,
1. Punjab,2. Barnala,2010 - 2011,115000.00,572000.00,4.97,,,,,,
1. Punjab,2. Barnala,2011 - 2012,115000.00,615000.00,5.35,,,,,,
1. Punjab,2. Barnala,2012 - 2013,114000.00,567000.00,4.97,,,,,,
1. Punjab,2. Barnala,2013 - 2014,114000.00,596000.00,5.23,,,,,,
1. Punjab,2. Barnala,2014 - 2015,114000.00,527000.00,4.62,,,,,,
1. Punjab,2. Barnala,2015 - 2016,115000.00,565000.00,4.91,,,,,,
1. Punjab,2. Barnala,2016 - 2017,114000.00,626000.00,5.49,,,,,,
1. Punjab,2. Barnala,2017 - 2018,114000.00,609000.00,5.34,,,,,,
1. Punjab,2. Barnala,2018 - 2019,115000.00,641000.00,5.57,,,,,,
1. Punjab,2. Barnala,2019 - 2020,114000.00,599000.00,5.25,,,,,,
1. Punjab,2. Barnala,2020 - 2021,113700.00,546000.00,4.8,,,,,,
1. Punjab,2. Barnala,2021 - 2022,114800.00,525000.00,4.57,,,,,,
